,Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak
38,"PENERAPAN SISTEM INFORMASI MANAJEMEN BERKAS BERBASIS WEB MENGGUNAKAN OWNCLOUD DI SMK NEGERI 1 KAMAL
",Bagus Ario Wardiansyah,"Dr. Arif Muntasa, S.Si., M.T.","Medika Risnasari, S.ST., M.T.","Kegiatan belajar mengajar dilingkungan sekolah juga didukung oleh kelengkapan serta kesiapan teknologi informasi salah satunya adalah teknologi manejemen penyimpanan yang terintegrasi dalam suatu sistem manajemen berupa berkas digital. Tujuan dalam penerapan sistem ini adalah untuk merancang serta mengaplikasikan sistem informasi manajemen berkas berbasis web menggunakan owncloudsi SMK Negeri 1 Kamal. 

Responden penelitian sebanyak 7 guru di lingkungan jurusan TIK. Teknik pengumpulan data menggunakan metode angket berbentuk jawaban skala Likert dengan rentan skor 1-4. Validitas instrumen dan produk diukur dengan diuji oleh ahli media dan materi untuk mengetahui kelayakan dari sistem yang diterapkan. 

Penerapan sistem melalui 5 tahap yaitu : Perancangan sistem, analisis sistem, desain sistem, penerapan sistem dan perawatan sistem. Hasil validasi media penerapan sistem informasi manajemen berkas berbasis web menggunakan owncloud di SMK Negeri 1 Kamal sebesar 3,9 (sangat baik), sedangkan validasi ahli materi sebesar 3,2 (baik). Dalam penelitian ini juga diamati aspek-aspek efektifitas dalam sistem meliputi (1) Aspek kesesuaian fungsi (Correctness), (2) Aspek efisiensi (Efficiency), dan (3) Aspek kemudahan penggunaan (Usability). Dimana hasil penelitian menunjukkan bahwa sistem memiliki rerata aspek correctness sebesar 3,4 (sangat baik), rerata aspek efficiency sebesar 3,38 (baik) dan pada rerata aspek usabilitysebesar 3,48 (sangat baik).
"
39,PENGARUH BIMBINGAN KARIER TERHADAP KONSEP DIRI KE ARAH KARIER SISWA SMK NEGERI 1 KAMAL TAHUN AJARAN 2016/2017,Hildan Firdaus,"Ariesta Kartika Sari, S.Si., M.Pd.","Puji Rahayu Ningsih, S.Pd., M.Pd","Siswa dengan pengetahuan konsep diri yang rendah mengakibatkan siswa bingung dalam merencanakan karier di masa depan, karena tidak tahu potensi dalam dirinya. Oleh sebab itu dibutuhkan bimbingan karier dari sekolah agar siswa dapat merencanakan masa depan dengan optimal. Maka diharapkan dengan bantuan bimbingan karier dapat meningkatkan pemahaman siswa tentang karier. Dalam penelitian ini ingin mengetahui bagaimana pengaruh bimbingan karier terhadap konsep diri siswa ke arah karier siswa SMK Negeri 1 Kamal. Penelitian ini merupakan penelitian kuantitatif dengan menggunakan Pre-Experimental Designs dengan bentuk One-Group Pretest-Posttest Design. Penelitian dilaksanakan di kelas XI RPL 1 SMK Negeri 1 Kamal yang berjumlah 33 siswa. Pengambilan sampel dilakukan dengan mengambil seluruh jumlah siswa sehingga penelitian ini merupakan penelitian populasi. Teknik pengumpulan data dilakukan dengan metode tes skala psikologi dan kuesioner. Hasil penelitian menunjukan hasil, 1) presentase rata-rata validasi tes psikologi konsep diri yaitu 75% dan respon siswa yaitu 74%, artinya kedua pengumpul data tersebut layak digunakan. 2) ada pengaruh bimbingan karier terhadap konsep diri ke arah karier siswa yaitu berdasarkan hasil pengujian teknik nonparamateris menggunakan wilcoxon signed rank test sampel besar, diperoleh probabilitas dua sisi sebesar 0,0032 dengan tingkat signifikasi a = 0.05. Nilai probabilitas dua sisi berada dibawah tingkat signifikasi, maka H1 dapat diterima dan menolak H0, artinya ada pengaruh bimbingan karier terhadap konsep diri ke arah karier siswa yang signifikan antara sebelum dan sesudah diberi bimbingan karier, hasil uji gain menunjukkan juga ada pengaruh dengan kategori rendah sebanyak 36%,  3) respon siswa terhadap bimbingan karier mendapat respon bahwa bimbingan karier bermanfaat bagi siswa."
40,Pengembangan Media Pembelajaran berbasis web menggunakan program Adobe Dreamweaver CS3 pada mata pelajaran BTA(Baca Tulis Al-Quran) untuk siswa kelas X SMK Agung Mulia Socah Bangkalan,Shony Attaufiqin,W,"Wanda Ramansyah, S.Pd., M.Pd.","ABSTRAK

Shony, Attaufiqin 2017. Pengembangan Media Pembelajaran berbasis web menggunakan program Adobe Dreamweaver CS3 pada mata pelajaran BTA(Baca Tulis Al-Quran) untuk siswa kelas X SMK Agung Mulia Socah Bangkalan. Skripsi, Pendidikan Informatika, Universitas Trunojoyo Madura. 

Pembimbing : (I) Wahyudi Agustiono, S.Kom., M.Sc., dan (II) Wanda Ramansyah, S.Pd., M.Pd.

Kata-kata Kunci : Media Pembelajaran, Adobe Dreamweaver cs3, pembuatan media web, memahami BTA(Baca Tulis Al-Quran).
 
Pada dasarnya pengajaran dengan metode ceramah itu sangat biasa dan cepat bosan bagi siswa. Guru dituntut untuk dapat kreatif dalam megajar. Maka dari itu diadakannya pengembangan media pembelajaran.

Pengembangan ini bertujuan untuk mengembangkan media pembelajaran tentang BTA(Baca Tulis Al-Quran) yang berupa media berbasis web untuk membantu siswa dalam memahami materi BTA(Baca Tulis Al-Quran).

Pengembangan ini menggunakan model pengembangan Four-D model (analisis, desain, pengembangan  dan  penyebaran). Dalam model ini dilakukan 4 tahap uji coba untuk memperoleh nilai efektifitas,efisiensi, dan daya tarik produk. Pertama uji coba ahli isi/materi, kedua uji coba ahli media, ketiga uji coba perorangan, keempat uji coba kelompok kecil dan kelima uji coba kelompok besar.

Hasil penelitian menunjukkan bahwa nilai yang diperoleh media berbasis web dari : 1) Ahli materi mendapatkan nilai 82% dengan kualifikasi “Tinggi”, 2) Ahli Rancangan Media diperoleh nilai 82,9% dengan kualifikasi “Tinggi”, 3) uji coba siswa perorangan diperoleh nilai 92% dengan kualifikasi “sangat tinggi”, 4) Uji coba siswa kelompok kecil diperoleh nilai 92% dengan kualifikasi “sangat tinggi”, 5) uji coba siswa Kelompok besar diperoleh 88% dengan kualifikasi “tinggi”. Dengan demikian media web yang dikembangkan ini memiliki nilai efektifitas, efisiensi, dan daya tarik yang tinggi sebagai media pembelajaran berbasis web mata pelajaran BTA(Baca Tulis Al-Quran).

"
41,PENGARUH MODEL PEMBELAJARAN PROJECT BASED LEARNING TERHADAP KEMAMPUAN BERFIKIR KREATIF SISWA DALAM MATERI PEMBUATAN OBJEK PADA APLIKASI ANIMASI 2D KELAS X MULTIMEDIA SMK HASYIM ASY’ARI ,Danis Prayogi,"Ariesta Kartika Sari S.Si., M.Pd","Puji Rahayu Ningsih S.Pd., M.Pd","Danis Prayogi. 2017. Pengaruh Model Pembelajaran project based learning terhadap kemampuan berfikir kreatif siswa pada materi pembuatan objek pada aplikasi animasi 2D di SMK Hasyim Asy’ari pucuk lamongan. Skripsi, Program Studi Pendidikan Informatika, Fakultas Ilmu Pendidikan, Universitas Trunojoyo Madura. 
Pembimbing: (I) Ariesta Kartika Sari S.Si., M.Pd dan (II) Puji Rahayu Ningsih S.Pd., M.Pd. 

Kata Kunci : project based lesrning, pembuatan objek pada aplikasi animsi 2D, kemampuan berfikir kreatif
Materi “pembuatan objek pada aplikasi animasi 2D” menuntut siswa untuk membuat project secara mandiri yang bertujuan untuk meningkatkan kemampuan berfikir kreatif siswa. Namun realitanya siswa dituntut membuat project dengan contoh yang diberikan oleh guru. Hal ini bertentangan dengan standart kompetensi lulusan SMK. 
Penelitian ini bertujuan untuk mengetahui pengaruh model pembelajaran project based learning terhadap kemampuan berfikir kreatif siswa SMK Hasyim Asy’ari pucuk Lamongan  pada materi pembuatan objek pada aplikasi animasi 2D. 
Jenis penelitian ini adalah deskriptif kuantitatif dengan metode eksperimen, menggunakan Quasi Experimental Design, dengan rancangan non-equivalent control group design. Tahap awal yang dilakukan yaitu melakukan pretest sebelum diberi perlakuan, selanjutnya dilakukan tes tahap akhir dengan melakukan posttest. Instrumen penelitian yang digunakan adalah instrumen tes kemampuan berfikir kreatif siswa, lembar observasi dan wawancara. 
Hasil Penelitian menunjukkan bahwa “model pembelajaran project based learning dalam materi pembuatan objek pada aplikasi animasi 2D memberikan pengaruh yang signifikan terhadap kemampuan berfikir kreatif siswa kelas X Multimedia di SMK Hasyim Asy’ari Pucuk Lamongan”. Peningkatan kemampuan berfikir kreatif siswa dihitung menggunakan uji gain ternomalisasi. hasil uji gain pada kelas eksperimen menunjukkan kemampuan berfikir kreatif yang meningkat. Peningkatan kemampuan berfikir kreatif siswa dengan kategori tinggi sebesar 27%, kategori sedang sebesar 53%, kategori rendah sebesar 13% dan yang tidak mengalami peningkatan sebesar 7%.
?
"
42,Sistem Informasi Penerimaan Peserta Didik Baru Berbasis Web dan Mobile Di SMA Darul Kholil Bangkalan,Muhammad Rizky Amin,"Dr. Indah Aguestien S, S.Kom., M.Kom","Ariesta Kartika Sari, S.Si., M.Pd.","Proses penerimaan peserta didik baru di SMA Darul Kholil dilakukan secara manual ditulis menggunakan buku, sehingga mengakibatkan lambatnya proses penerimaan peserta didik baru. Dampak dari proses penerimaan peserta didik baru yang manual menyebabkan pendataan calon peserta, ujian seleksi, hasil seleksi dan pengumuman menjadi lambat dan tidak efektif. Ketika pihak sekolah membutuhkan laporan, mereka harus mencari di arsip terleih dulu. Pencarian laporan tersebut akan mengakibatkan keterlambatan dalam proses pengumumuman hasil seleksi penerimaan peserta didik baru. Sehingga proses pelaporan tersebut tidak bisa dilakukan secara cepat, efektif, dan efesien. Tujuan dari penelitian adalah untuk memudahkan peserta didik melaksanakan proses pendaftaran, sedangakan untuk pihak sekolah tidak kesulitan dalam mendata, menyeleksi dan memberikan pengumuman tentang PPDB. Penelitian ini merupakan penelitian pengembangan. Model penelitian yang digunakan adalah waterfall. Tahapan dari model waterfall adalah (1) analisis dan definisi kebutuhan pengguna (2) perancangan sistem dan perangkat lunak produk (3) implementasi dan pengujian unit prodak (4) pengujian sistem produk (5) operasi dan pemeliharaan produk. Hasil penelitian produk ini (1) produk sistem informasi penerimaan peserta didik baru berbasis web dan mobile layak digunaka di SMA Darul Kholil. Hal ini dibuktikan dengan hasil uji coba ahli perancangan sistem informasi dengan persentase 100%, ahli desain 100% dan uji pengguna sebesar 85%. (2) Sistem informasi ini mampu dijalankan diberbagai aplikasi browser yang berbasis dekstop maupun mobile secara online dan realtime. Sistem ini mampu (1) menginputkan data pendaftar (2) mencari data pendatar (3) menampilkan data pendaftar (4) mencetak form pendaftar (5) mematikan dan menghidupkan layanan pendaftar melalui menu admin."
43,Identifikasi Kemampuan Berpikir Kritis Siswa Kelas X TKJ Ditinjau dari Kemampuan Awal dan Jenis Kelamin Siswa Di SMKN 1 Kamal,Meila Hayudiyani,"Muchamad Arif, S.Pd., M.Pd","Medika Risnasari, S.ST., MT","Tujuan penelitian ini adalah untuk mengindentifikasikan kemampuan berpikir kritis siswa ditinjau dari kemampuan awal dan jenis kelamin siswa. Berpikir kritis yang digunakan ialah indikator berpikir kritis menurut Facione. Dalam penelitian ini, kemampuan awal dikategorikan menjadi 2 yaitu a) Kemampuan Awal tinggi; dan b) Kemampuan Awal Rendah. Untuk mendapatkan kelompok kemampuan awal tersebut dilakukan tes Kemampuan Awal, kemudian pada masing – masing kategori dikelompokkan lagi berdasarkan jenis kelamin dan didapatkan 4 siswa. Dari keempat subjek tersebut diberikan soal materi subnetting dengan tujuan mengidentifikasikan kemampuan berpikir kritis dari masing–masing kemampuan awal yang dimiliki siswa. Hasil yang diperoleh adalah (1) Siswa dengan kemampuan awal tinggi dan berjenis kelamin laki-laki dapat melalui tahap interpretasi dengan baik, melakukan analisis, evaluasi, inference dan eksplanasi serta self-regulation dengan baik; (2) Siswa dengan kemampuan awal tinggi dan berjenis kelamin perempuan dapat melalui tahap interpretasi dengan baik, melakukan analisis, evaluasi, inference dan eksplanasi serta self-regulation dengan baik; (3) Siswa dengan kemampuan awal rendah dan berjenis kelamin laki-laki tidak dapat melalui tahap interpretasi dengan baik, tidak dapat melakukan analisis, evaluasi, inference, eksplanasi, dan self-regulation; (4) Siswa dengan kemampuan awal rendah dan berjenis kelamin perempuan tidak dapat melalui tahap interpretasi dengan baik, tidak dapat melakukan analisis, evaluasi, inference, eksplanasi, dan self-regulation."
44,PENGARUH PEMBELAJARAN MENGGUNAKAN MEDIA PACKET TRACER TERHADAP HASIL BELAJAR SISWA PADA MATERI JARINGAN KOMPUTER KELAS X TKJ SMK AGUNG MULIA SOCAH,M. Ali Mufid,"Puji Rahayu Ningsih, S.Pd., M.Pd.","Muchamad Arif, S.Pd., M.Pd.","Sarana dan prasarana di SMK Agung Mulia Socah berupa komponen dan instalasi jaringan komputer belum memadai, seperti tidak adanya perangkat pembelajaran jaringan komputer sehingga siswa tidak bisa membanggun jaringan komputer. Adanya laboratorium komputer belum dimanfaat secara optimal artinya laboratorium komputer belum dimanfaatkan untuk pembelajaran materi jaringan komputer yang berupa simulasi jaringan komputer. Media packet tracer merupakan software simulasi jaringan komputer“Cisco Packet Tracer”. Media packet tracer digunakan siswa untuk melakukan simulasi jaringan komputer yang mendukung komponen jaringan komputer seperti router, switch, hub dan komponen pendukung lain.

Penelitian ini bertujuan untuk mengetahui pengaruh media packet tracer terhadap hasil belajar siswa pada mata pelajaran jaringan komputer dikelas X TKJ SMK Agung Mulia Socah.

Penelitian ini merupakan penelitian ekperimen dengan bentuk Quasi Exsperimen Design jenis Nonequivalent Contol Groub Desaign, yang melibatkan dua kelompok dan dipilih secara Sampling Jenuh. Pada Kelas eksperimen proses pembelajaran menggunakan media packet tracer dan pada kelas kontrol pembelajaran tanpa menggunakan media packet tracer. penelitian dilakukan tes awal (pretest) untuk mengetahui kemampuan awal siswa, selanjutnya setelah dilakukan perlakuan dalam jangka waktu tertentu dilakukan posttest untuk mengetahui tingkat keberhasilan.

Penelitian ini menghasilkan bahwa pada pengujian kenormalan dan homogenitas kedua sampel, dikatakan bahwa sampel berasal dari siswa berdistribusi normal dan homogen. Pada pengujian persamaan rata-rata nilai pretest hasil belajar siswa, dikatakan hasil belajar awal siswa kedua sampel adalah sama. Pada aktivitas siswa didapat bahwa rata-rata aktivitas siswa sebesar 75,14 yang merupakan kategori bagus, sehingga dapat disimpulkan bahwa aktivitas siswa tergolong aktif. Pada aktivitas guru didapatkan rata-rata 88,33 dengan kategori sangat baik sehingga dapat disimpulkan bahwa guru mampu dalam pengelolaan media packet tracer dalam pembelajaran. Pengujian hipotesis posttest hasil belajar siswa diperoleh nilai thitung = 3,685 > ttabel = 2,00 dengan taraf signifikan ? = 0,05, terdapat perbedaan antara kelas eksperimen dan kelas kontrol. Dapat disimpulkan pembelajaran menggunakan media packet tracer pada jaringan komputer dapat mempengaruhi hasil belajar siswa. 

Kata-kata Kunci : Media pembelajaran packet tracer, aktivitas siswa, hasil belajar siswa"
45,EFEKTIVITAS MODEL PEMBELAJARAN KOOPERATIF TIPE COURSE REVIEW HORAY PADA MATERI PENGANTAR ORGANISASI DAN ARSITEKTUR KOMPUTER DI KELAS X TKJ SMKN 1 AROSBAYA ,Zulfaul Laila Rizki,"Wanda Ramansyah, S.Pd., M.Pd","Puji Rahayu Ningsih, S.Pd., M.Pd","Penelitian ini bertujuan untuk mengetahui efektivitas pembelajaran sistem komputer khususnya pada materi pengantar organisasi dan arsitektur komputer pada model kooperatif tipe course review horay di kelas X TKJ SMKN 1 Arosbaya. Populasi pada penelitian ini adalah siswa kelas X TKJ SMKN 1 Arosbaya Tahun Ajaran 2016/2017 yang terdiri dari 44 siswa. Penelitian ini merupakan penelitian kuantitatif deskriptif dengan metode eksperimen jenis Quasi Experimental Design. Penelitian ini menggunakan Nonprobability sampling yaitu dengan teknik pengambilan sampel yang tidak memberi peluang/ kesempatan yang sama bagi anggota populasi. Pada penelitian ini sampel yang digunakan sebanyak dua kelompok dengan pengambilan anggota sampel dari populasi dengan menggunakan teknik sampling jenuh. Berdasarkan hasil penelitian meliputi: (1) Secara klasikal 83,33% siswa dinyatakan memiliki ketuntasan hasil belajar. (2) Aktivitas keterlaksanaan pembelajaran (aktivitas guru) diperoleh rata-rata sebesar 80,47% dan tergolong kategori sangat baik. (3) Aktivitas siswa diperoleh rata-rata sebesar 3,13 dan tergolong kategori baik(aktif). (4) Respon siswa diperoleh 95,41% dan tergolong kategori sangat baik. Dengan demikian dapat disimpulkan bahwa model kooperatif tipe cours review horay efektif terhadap hasil belajar siswa"
46,PENGEMBANGAN MEDIA PEMBELAJARAN PERANGKAT JARINGAN DENGAN MENGGUNAKAN AUGMENTED REALITY  PADA MATA PELAJARAN JARINGAN DASAR DI SMK NURUL AMANAH BANGKALAN,Jakfar,"Moh.Kautsar Sophan, S.Kom.,M.MT","Wanda Ramansyah, S.Pd.,M.Pd.","Materi perangkat jaringan yaitu materi yang tercantum pada kompetensi dasar melaksanakan instalasi lokal area network dan mengkonfigurasi TCP dan IP di silabus XI TKJ SMK Nurul Amanah. Guru menggunakan media buku dalam pembelajaran. Media pembelajaran buku kurang mampu menarik minat siswa dalam belajar. Peneliti mencoba memecahkan masalah menggunakan media pembelajaran dengan menggunakan Augmented Reality pada materi perangkat jaringan.
Penelitian ini bertujuan untuk pengembangan media pembelajaran perangkat  jaringan menggunakan Augmented Reality. Selain itu, penelitian ini juga bertujuan untuk mengetahui kelayakan media dan respon siswa setelah menggunakan media pembelajaran perangkat jaringan. Sasaran penelitian yaitu kelas XI TKJ di SMK Nurul Amanah  Bangkalan.
Penelitian ini menggunakan Metode penelitian Model Waterfall Pressman yang terdiri dari lima fase yaitu: (1) Communicatin, (2) Planning, (3) Modeling, (4) Construction, (5) Deployment. Teknik pengumpulan data pada penelitian ini menggunakan metode angket dan metode tertulis. Analisis data dilakukan dengan penyajian data, analisis tingkat rating, rerata, persentase skor, tabulasi tabel, dan penarikan kesimpulan. Penelitian ini menemukan bahwa: Media pembelajaran perangkat jaringan ini dibuat menggunakan software Unity dan telah divalidasi dengan hasil rating rerata sebesar 83,55% dengan kriteria nilai sangat baik. Respon siswa terhadap media pembelajaran pengenalan jaringan dengan hasil rating rerata sebesar 88,58% dengan kriteria nilai sangat baik. 
Penelitian menyarankan: Bagi para peneliti yang akan melanjutkan penelitian ini dapat menyempurnakan dari keterbatasan media yang telah dibuat. Peneliti selanjutnya juga dapat menerapkan teknologi Augmented Reality sebagai media pembelajaran dengan platform dan perangkat yang berbeda (multi platform).

Kata kunci: Media pembelajaran, Augmented Reality, Waterfall, perangkat jaringan.
"
47,PENGARUH METODE PEMBELAJARAN SCRAMBLE TERHADAP HASIL BELAJAR SISWA PADA MATA PELAJARAN PEMROGRAMAN DASAR KELAS X TKJ SMK AL-HIKAM,NOVYA AYU ANGGRAENI,"WANDA RAMANSYAH,S.PD.,M.PD","MUCHAMAD ARIF,S.PD.,M.PD","ABSTRAK

Anggraeni, Novya Ayu. 2017. Pengaruh Metode Pembelajaran Scramble Terhadap Hasil Belajar Siswa Mata Pelajaran Pemrograman Dasar Kelas X TKJ di SMK Al-Hikam Bangkalan. Skripsi, Program Studi Pendidikan Informatika, Program Sarjana Universitas Trunojoyo Madura.
Pembimbing : (1) Wanda Ramansyah, S.Pd.,M.Pd., dan (II) Muchamad Arif, S.Pd., M.Pd.

Kata Kunci : Metode pembelajaran Scramble, Hasil belajar siswa, Pemrograman Dasar.

Salah satu mata pelajaran SMK jurusan TKJ adalah pemrograman dasar, mata pelajaran ini mempelajari tentang rangkaian instruksi dalam bahasa komputer yang disusun secara logika dan sistematis. Pembelajaran pemrograman dasar ini guru harus pandai menyampaikan materi dengan baik. Pembelajaran yang ada di SMK Al-Hikam Bangkalan memberikan pembelajaran hanya berpusat pada guru.
Penelitian ini bertujuan untuk mengetahui pengaruh metode pembelajaran Scramble terhadap hasil belajar siswa pada mata pelajaran pemrograman dasar pada siswa kelas X TKJ SMK Al-Hikam Bangkalan. Penelitian yang dilaksanakan pada bulan Mei ini dapat dikatakan ada pengaruh apabila empat indikator dapat terpenuhi, yaitu (1) hasil belajar siswa kelas eksperimen lebih tinggi daipada kelas kontrol; (2) aktivitas guru minimal baik; (3) aktivitas siswa selama pembelajarn minimal baik; (4) respon siswa terhadap pembelajaran minimal baik.

Penelitian ini menggunakan metode kuantitatif dengan desain penelitian Quasi Experimental jenis Nonequivvalent Control Group Design. Sampel yang digunakan dalam penelitian ini sebanyak 30 siswa kelas eksperimen dan 30 siswa kelas kontrol dengan menggunakan teknik sampling jenuh. Pengumpulan data menggunakan instrumen tes hasil belajar, angket respon siswa, lembar observasi siswa dan guru. Hasil penelitian menunjukkan bahwa rata-rata nilai prestest dan posttest kelas eksperimen yaitu 36,3 dan 74,00. Uji regresi linier menunjukkan metode pembelajaran Scramble dapat meningkatkan hasil belajar siswa sebesar 53. Berdasarkan hasil uji hipotesis diperoleh thitung = 7,530763 > ttabel = 1,699, maka Ho ditolak, artinya terdapat pengaruh yang signiifikan metode pembelajaran Scramble terhadap hasil belajar siswa. Hasil observasi aktivitas guru secara klasikal memperoleh rata-rata 81% dengan kategori sangat baik. Hasil observasi aktivitas siswa secara klasikal memperoleh rata-rata  74% dengan kategori baik. Hasil angket respon siswa secara klasikal berkategori sangat baik sebesar 80%. Sehingga dikatakan metode pembelajaran Scramble berpengaruh terhadap hasil belajar siswa pada mata pelajaran pemrograman dasar di SMK Al-Hikam Bangkalan.
"
48,Pengaruh Pembelajaran Menggunakan Media    Virtualbox Terhadap Hasil Belajar Siswa Materi Instalasi Sistem Operasi Metode Clean Install Kelas X Tkj (Penelitian Di Smk Nurul Amanah),Nur Faize,"Ariesta Kartika Sari, S.Si., M.Pd","Wanda Ramansyah, S.Pd., M.Pd","Pelaksanaan pendidikan yang berada pada tingkat paling dekat dengan siswa yaitu guru merupakan subjek yang sangat berpengaruh terhadap hasil pendidikan. Semakin baik seorang guru dalam menyampaikan materi maka semakin baik pula hasil belajar siswa dan akan semakin baik pula hasil pendidikan.  Penelitian ini bertujuan untuk mengetahui Pengaruh Pembelajaran Menggunakan Media Virtualbox Terhadap Hasil Belajar Siswa Materi Instalasi Sistem Operasi Metode Clean Install Kelas X Tkj (Penelitian Di Smk Nurul Amanah). Penelitian dilaksanakan pada bulan Mei sampai dengan Juni 2017. Penelitian ini adalah penelitian kuantitatif menggunakan metode kuantitatif dengan disain Quasi Experimental jenis Nonequivaent Control Group Design. Pengambilan data sampel dilakukan mengggunakan teknik Sampling Jenuh dimana seluruh populasi digunakan sebagai sampel yaitu sebanyak 25 siswa untuk kelas eksperimen dan 19 siswa untuk kelas kontrol. Pengambilan data menggunakan instrumen tes hasil belajar siswa berupa soal tes uraian dan angket respon. Data yang diperoleh dari hasil tes soal uraian dianalisis dengan uji statistik. Nilai pretest dan posttest diuji dengan rumus Lilliefors, homogenitas, linieritas, regresi linier sederhana dan uji signifikan (uji t).  Dari hasil Uji Regresi Linier sederhana menunjukkan media pembelajaran aplikasi VirtualBox dapat meningkatkan hasil belajar siswa sebesar 14,62. Sedangkan dari uji signifikan (Uji t) hasil belajar diketahui bahwa thitung = 16,658  ? ttabel = 2,0687. Hal ini menunjukkan bahwa Ho ditolak dan Ha diterima, artinya terdapat pengaruh media pembelajaran aplikasi VirtualBox pada materi instalasi sistem operasi metode clean install terhadap hasil belajar siswa kelas X TKJ di SMK Nurul Amanah. "
49,PENGARUH MODEL PROJECT BASED LEARNING TERHADAP HASIL BELAJAR SISWA PADA MATA PELAJARAN SIMULASI DIGITAL DI SMK NURUL AMANAH,Defi Yuliyanti,"Wanda Ramansyah, S.Pd., M.Pd.","Puji Rahayu Ningsih, S.Pd, M.Pd","Penelitian ini bertujuan untuk mengetahui pengaruh model project based learning terhadap hasil belajar siswa pada mata pelajaran simulasi digital di SMK Nurul Amanah. Penelitian yang dilaksanakan pada bulan April 2017 ini menggunakan metode quasi experiment dengan desain nonequivalent Control Grup Desain. Pengambilan data sampel dilakukan mengggunakan teknik sampling jenuh.  Sampel penelitian ini berjumlah 25 siswa untuk kelas eksperimen dan 19 siswa untuk kelas kontrol. Pengambilan data menggunakan instrumen tes berupa uraian, analisis data menggunakan uji-t. Hasil penelitian ini diperoleh yaitu t_(hitung )= 8.545 > t_(tabel ) = 2.068 dengan ?=0.05% yang berarti Ho ditolak dan Ha diterima, artinya terdapat pengaruh model project based learning terhadap hasil belajar siswa pada mata pelajaran simulasi digital di SMK Nurul Amanah. Rata-rata hasil akhir belajar siswa mengalami peningkatan yaitu pretest kelas eksperimen 57.16 dan posttest kelas eksperimen 77.16. Pretest kelas kontrol 54.79 sehingga posttest kelas kontrol 71.68. dengan kesimpulan model project based learning  layak digunakan sebagai penelitian. Sedangkan untuk angket respon siswa terhadap model project based learning memperoleh respon sangat baik dengan nilai rata-rata 86.8.

"
50,Pengaruh metode pembelajaran kooperatif tipe numbered head together terhadap hasil belajar siswa pada mata pelajaran pemograman dasar di SMKN 2 Bangkalan,IKHDA EL HAWA,"MEDIKA RISNASARI, S. ST., M. T.","SIGIT DWI SAPUTRO, S. Pd., M. Pd.","Penelitian ini bertujuan untuk mengetahui pengaruh model pembelajaran kooperatif tipe numbered heads together terhadap hasil belajar siswa pada mata pelajaran pemrograman dasar di siswa kelas 10 TKJ SMKN 2 Bangkalan. Penelitian ini menggunakan jenis penelitian kuantitatif dan desain penelitian quasi eksperimental design dengan bentuk non equivalent control group design. Prosedur dalam penelitian ini ada 3 tahap yaitu (1) tahap persiapan, (2) tahap pelaksanaan, dan (3) tahap penyusunan hasil penelitian. Penelitian menemukan bahwa : hasil belajar bagi siswa yang belajar dengan menggunakan model pembelajaran kooperatif tipe numbered heads together lebih tinggi secara signifikan. Hal ini dibuktikan dengan dengan thitung  = 2,4612 > ttabel  = 2,0484, maka Ho ditolak dan Ha diterima, artinya terdapat pengaruh yang signifikan model pembelajaran kooperatif tipe kelas 10 TKJ di SMKN 2 Bangkalan. Hasil analisis uji gain ternormalisasi memperoleh rata-rata 0,55 dengan kategori “Sedang”. Sehingga dapat disimpulkan dari hasil uji signifikansi didukung dengan hasil uji gain diperoleh bahwa dengan menggunakan model pembelajaran kooperatif tipe numbered heads together (NHT) dapat mempengaruhi hasil belajar siswa. Penelitian menyarankan : (1) Bagi guru, sebaiknya menerapkan model pembelajaran kooperatif tipe numbered heads together (NHT) lebih sering lagi. Karena pembelajaran kooperatif tipe numbered heads together (NHT) berpengaruh terhadap hasil belajar siswa. (2) Model pembelajaran kooperatif tipe numbered heads together (NHT) dapat dikolaborasikan dengan metode, strategi, dan pendekatan pembelajaran lainnya."
